2021-01-06 08:44:47 trigproc desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2 <none>
2021-01-06 08:44:47 status half-configured desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2
2021-01-06 08:44:47 status installed desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2
2021-01-06 08:44:47 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2021-01-06 08:44:47 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2021-01-06 08:44:48 status installed man-db:amd64 2.8.3-2ubuntu0.1
2021-01-06 08:44:51 startup archives unpack
2021-01-06 08:44:51 upgrade firefox-locale-en:amd64 84.0+build3-0ubuntu0.18.04.1 84.0.1+build1-0ubuntu0.18.04.1
2021-01-06 08:44:51 status half-configured firefox-locale-en:amd64 84.0+build3-0ubuntu0.18.04.1
2021-01-06 08:44:51 status unpacked firefox-locale-en:amd64 84.0+build3-0ubuntu0.18.04.1
2021-01-06 08:44:51 status half-installed firefox-locale-en:amd64 84.0+build3-0ubuntu0.18.04.1
2021-01-06 08:44:51 status half-installed firefox-locale-en:amd64 84.0+build3-0ubuntu0.18.04.1
2021-01-06 08:44:51 status unpacked firefox-locale-en:amd64 84.0.1+build1-0ubuntu0.18.04.1
2021-01-06 08:44:51 status unpacked firefox-locale-en:amd64 84.0.1+build1-0ubuntu0.18.04.1
2021-01-06 08:44:51 startup packages configure
2021-01-06 08:44:51 configure firefox-locale-en:amd64 84.0.1+build1-0ubuntu0.18.04.1 <none>
2021-01-06 08:44:51 status unpacked firefox-locale-en:amd64 84.0.1+build1-0ubuntu0.18.04.1
2021-01-06 08:44:51 status half-configured firefox-locale-en:amd64 84.0.1+build1-0ubuntu0.18.04.1
2021-01-06 08:44:51 status installed firefox-locale-en:amd64 84.0.1+build1-0ubuntu0.18.04.1
2021-01-06 08:44:54 startup archives unpack
2021-01-06 08:44:55 upgrade p11-kit-modules:amd64 0.23.9-2 0.23.9-2ubuntu0.1
2021-01-06 08:44:55 status half-configured p11-kit-modules:amd64 0.23.9-2
2021-01-06 08:44:55 status unpacked p11-kit-modules:amd64 0.23.9-2
2021-01-06 08:44:55 status half-installed p11-kit-modules:amd64 0.23.9-2
2021-01-06 08:44:55 status half-installed p11-kit-modules:amd64 0.23.9-2
2021-01-06 08:44:55 status unpacked p11-kit-modules:amd64 0.23.9-2ubuntu0.1
2021-01-06 08:44:55 status unpacked p11-kit-modules:amd64 0.23.9-2ubuntu0.1
